Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
464	AC_cohort46_YF_4	AgingCohort46_YF_SacOrder_16	Untreated	Aging_cohort	NA	21	118.283	26.02	185.148	
465	AC_cohort46_YF_5	AgingCohort46_YF_SacOrder_17	Untreated	Aging_cohort	NA	21	133.843	4.75	536.5	
466	AC_cohort46_OF_1	AgingCohort46_OF_SacOrder_3	Untreated	Aging_cohort	NA	91	2.61	23.08	143.233	
467	AC_cohort46_OF_2	AgingCohort46_OF_SacOrder_6	Untreated	Aging_cohort	NA	91	5.949	59.89	112.457	
468	AC_cohort46_OF_3	AgingCohort46_OF_SacOrder_11	Untreated	Aging_cohort	NA	91	7.868	41.66	195.689	
469	AC_cohort46_OF_4	AgingCohort46_OF_SacOrder_14	Untreated	Aging_cohort	NA	91	8.257	54.35	82.029	
470	AC_cohort46_OF_5	AgingCohort46_OF_SacOrder_19	Untreated	Aging_cohort	NA	91	24.88	18.97	262.787	
471	MeMo133_13_weeks	AC_MA	Untreated	Aging_cohort	NA	13	154.117	30.64	94.544	
472	MeMo134_13_weeks	AC_MA	Untreated	Aging_cohort	NA	13	143.33	5.06	386.539	
473	MeMo135_71_weeks	AC_MA	Untreated	Aging_cohort	NA	71	12.074	65.03	73.255	
474	MeMo136_71_weeks	AC_MA	Untreated	Aging_cohort	NA	71	6.979	8.74	4.5	
475	MeMo137_76_weeks	AC_MA	Untreated	Aging_cohort	NA	76	36.78	14.99	245.951	
476	MeMo138_76_weeks	AC_MA	Untreated	Aging_cohort	NA	76	0.8	61.13	52.126	
477	MeMo139_81_weeks	AC_MA	Untreated	Aging_cohort	NA	81	0.4	57.36	4.5	
478	MeMo140_81_weeks	AC_MA	Untreated	Aging_cohort	NA	81	0.4	64.66	4.5	
479	MeMo141_86_weeks	AC_MA	Untreated	Aging_cohort	NA	86	1.418	77.18	70.161	
480	MeMo142_86_weeks	AC_MA	Untreated	Aging_cohort	NA	86	18.767	6.56	542.863	
1001	F_4m_900	AgingCohort52_YF	Untreated	Aging_cohort	NA	17	151.5	13.56	104.9	
1002	F_4m_901	AgingCohort52_YF	Untreated	Aging_cohort	NA	17	119.1	9.92	124.1	
1003	F_4m_902	AgingCohort52_YF	Untreated	Aging_cohort	NA	17	189.6	10.86	114	
1004	F_4m_903	AgingCohort52_YF	Untreated	Aging_cohort	NA	17	117.6	15.4	154.3	
1005	F_4m_904	AgingCohort52_YF	Untreated	Aging_cohort	NA	17	144.8	7.06	201.3	
1006	F_20m_905	AgingCohort52_OF	Untreated	Aging_cohort	NA	86	8.25	73.75	38.4	
1007	F_20m_906	AgingCohort52_OF	Untreated	Aging_cohort	NA	86	8.25	23.97	36.2	
1008	F_20m_907	AgingCohort52_OF	Untreated	Aging_cohort	NA	86	8.25	117.49	19.6	
1009	F_20m_908	AgingCohort52_OF	Untreated	Aging_cohort	NA	86	8.25	5.23	9	
1010	F_20m_909	AgingCohort52_OF	Untreated	Aging_cohort	NA	86	8.25	148.99	9	
1011	F_4m_920	AgingCohort53_YF	Untreated	Aging_cohort	NA	23	138.2	6.57	113.7	
1012	F_4m_921	AgingCohort53_YF	Untreated	Aging_cohort	NA	23	73	8.8	131.7	
1013	F_4m_922	AgingCohort53_YF	Untreated	Aging_cohort	NA	23	135.4	7.24	134.4	
1014	F_4m_923	AgingCohort53_YF	Untreated	Aging_cohort	NA	23	129.1	26.77	123.2	
1015	F_4m_924	AgingCohort53_YF	Untreated	Aging_cohort	NA	23	160.7	41.21	53.7	
1016	F_20m_925	AgingCohort53_OF	Untreated	Aging_cohort	NA	91	64.9	20.54	94.1	
1017	F_20m_926	AgingCohort53_OF	Untreated	Aging_cohort	NA	91	8.25	2.69	111.8	
1018	F_20m_927	AgingCohort53_OF	Untreated	Aging_cohort	NA	91	8.25	53.43	9	
1019	F_20m_928	AgingCohort53_OF	Untreated	Aging_cohort	NA	91	8.25	35.73	40.1	
1020	F_20m_929	AgingCohort53_OF	Untreated	Aging_cohort	NA	91	8.25	36.68	21.6	
519	Foxl2_NULL_2209	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	12	179	7.07	428.3	
494	Foxl2_NULL_2210	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	14	105.364	3.99	365.955	
KM27	Foxl2_NULL_1984	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	14	480.666	20.18	340.7	
495	Foxl2_NULL_2211	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	87.566	6.83	357.561	
505	Foxl2_NULL_2235	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	217.5	0.78	1132.1	
KM21	Foxl2_NULL_1991	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	531.461	28.58	321.7	
KM22	Foxl2_NULL_1993	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	673.135	3.33	355.5	
KM23	Foxl2_NULL_1994	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	170.95	3.47	1215.1	
KM24	Foxl2_NULL_1977	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	370.783	6.56	912.5	
KM25	Foxl2_NULL_1979	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	514.775	1.77	1340.6	
KM26	Foxl2_NULL_1981	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	15	188.58	7.46	401.3	
KM19	Foxl2_NULL_1989	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	16	229.29	26.55	401	
KM20	Foxl2_NULL_1990	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	16	488.941	6.35	382.2	
425	Foxl2_NULL_647	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	17	362.598	2.06	920.495	
533	Foxl2_NULL_2100	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	17	245.5	2.92	1453.2	
511	Foxl2_NULL_2244	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	18	253.7	24.2	206.1	
517	Foxl2_NULL_2102	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	19	251.2	2.78	671.6	
535	Foxl2_NULL_2099	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	19	204.9	0.24	1169.4	
KM17	Foxl2_NULL_2130	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	33	339.902	8.7	997.3	
KM18	Foxl2_NULL_1565	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	33	93.43	14.23	405.5	
429	Foxl2_NULL_284	Foxl2_NULL_wt	wt	Foxl2_NULL	NA	35	162.803	0.24	748.091	
